Time,Body Position (x),Body Position (y),Body Position (z),Head Position (x),Head Position (y),Head Position (z),Region (Color),
0,0,0.3299999,-2.741813E-08,0,1.88,-2.741813E-08,Hallway,
0.25,0,0.3299998,-2.741813E-08,0,1.88,-2.741813E-08,Hallway,
0.5,0,0.3299998,-2.741813E-08,0,1.88,-2.741813E-08,Hallway,
0.75,0,0.3299998,-2.741813E-08,0,1.88,-2.741813E-08,Hallway,
1,0,0.3299998,-2.741813E-08,0,1.88,-2.741813E-08,Hallway,
1.25,-0.5244661,0.3299999,0.2932971,-0.5244661,1.88,0.2932971,Hallway,
1.5,-0.7472677,0.3299999,0.2951338,-0.7472677,1.88,0.2951338,Hallway,
1.75,-0.2012597,0.3299999,0.6815249,-0.2012597,1.88,0.6815249,Hallway,
2,0.2268943,0.33,1.332204,0.2268943,1.88,1.332204,Hallway,
2.25,0.3448009,0.3299999,1.635748,0.3448009,1.88,1.635748,Hallway,
2.5,0.3448009,0.3299999,1.635748,0.3448009,1.88,1.635748,Hallway,
2.75,0.3448009,0.3299999,1.635748,0.3448009,1.88,1.635748,Hallway,
3,0.3448009,0.3299999,1.635748,0.3448009,1.88,1.635748,Hallway,
3.25,0.527427,0.33,1.842942,0.527427,1.88,1.842942,Blue Floor,
3.5,1.202112,0.3299999,2.065475,1.202112,1.88,2.065475,Blue Floor,
3.75,1.939585,0.3299999,2.293753,1.939585,1.88,2.293753,Blue Floor,
4,2.589652,0.3299998,2.420547,2.589652,1.88,2.420547,Blue Floor,
4.25,3.320344,0.33,2.424877,3.320344,1.88,2.424877,Blue Floor,
4.5,4.063763,0.3299999,2.39841,4.063763,1.88,2.39841,Blue Floor,
4.75,4.324109,0.3299999,1.738525,4.324109,1.88,1.738525,Blue Floor,
5,3.879542,0.3299998,1.249212,3.879542,1.88,1.249212,Blue Floor,
5.25,3.755586,0.3299998,0.840582,3.755586,1.88,0.840582,Blue Floor,
5.5,4.226657,0.3299999,0.2250975,4.226657,1.88,0.2250975,Hallway,
5.75,4.17477,0.3299998,-0.3087071,4.17477,1.88,-0.3087071,Hallway,
6,3.437791,0.3299999,-0.1828461,3.437791,1.88,-0.1828461,Hallway,
6.25,2.837826,0.3299999,0.3111852,2.837826,1.88,0.3111852,Hallway,
6.5,2.223279,0.3299999,0.3271499,2.223279,1.88,0.3271499,Hallway,
6.75,2.176257,0.3299998,0.3271499,2.176257,1.88,0.3271499,Hallway,
7,2.063876,0.3299998,0.04899473,2.063876,1.88,0.04899473,Hallway,
7.25,1.97397,0.3299998,-0.1735294,1.97397,1.88,-0.1735294,Hallway,
7.5,1.734563,0.3299998,-0.1903755,1.734563,1.88,-0.1903755,Hallway,
7.75,1.261369,0.3299998,-0.2614815,1.261369,1.88,-0.2614815,Hallway,
8,1.261369,0.3299998,-0.2614815,1.261369,1.88,-0.2614815,Hallway,
8.25,1.600301,0.3299999,-0.01509118,1.600301,1.88,-0.01509118,Hallway,
8.5,2.282234,0.3299998,0.1581483,2.282234,1.88,0.1581483,Hallway,
8.75,2.148056,0.3299998,-0.1759108,2.148056,1.88,-0.1759108,Hallway,
9,1.781324,0.3299999,-0.7905694,1.781324,1.88,-0.7905694,Pink Floor,
